geo_code,geo_label,geo_labelw,label,name,HubName,HubDist
E07000193,East Staffordshire,,E92000001E07000193,East Staffordshire,"612",2.67946749558281
E06000021,Stoke-on-Trent,,E92000001E06000021,Stoke-on-Trent,"621",1.98713596003189
E07000004,Aylesbury Vale,,E92000001E07000004,Aylesbury Vale,"628",9.66761952111774
E09000032,Wandsworth,,E92000001E09000032,Wandsworth,"996",1.53628162638477
E07000140,South Holland,,E92000001E07000140,South Holland,"597",7.90150711683056
E07000031,South Lakeland,,E92000001E07000031,South Lakeland,"573",5.82410734407437
W06000020,Torfaen,Tor-faen,W92000004W06000020,Torfaen,"1297",13.3084421199732
E07000114,Thanet,,E92000001E07000114,Thanet,"1023",2.9942908779712
E07000134,North West Leicestershire,,E92000001E07000134,North West Leicestershire,"851",4.29533840032816
95LL,Craigavon,,N9200000295LL,Craigavon,"1365",157.419379717761
E08000001,Bolton,,E92000001E08000001,Bolton,"218",2.52107698925882
E07000200,Babergh,,E92000001E07000200,Babergh,"732",2.36669165021619
E09000003,Barnet,,E92000001E09000003,Barnet,"1129",5.0415842957321
E07000194,Lichfield,,E92000001E07000194,Lichfield,"755",1.82787262519873
E07000118,Chorley,,E92000001E07000118,Chorley,"196",0.640479150220091
S12000005,Clackmannanshire,,S92000003S12000005,Clackmannanshire,"1483",5.98451575483107
E07000102,Three Rivers,,E92000001E07000102,Three Rivers,"1135",3.36864587758251
95PP,Fermanagh,,N9200000295PP,Fermanagh,"1365",230.056438204553
95WW,Newtownabbey,,N9200000295WW,Newtownabbey,"1365",119.693560032889
S12000044,North Lanarkshire,,S92000003S12000044,North Lanarkshire,"1333",0.928705841631415
E07000150,Corby,,E92000001E07000150,Corby,"934",3.00924440562098
E09000026,Redbridge,,E92000001E09000026,Redbridge,"1179",3.03520362363225
E06000015,Derby,,E92000001E06000015,Derby,"606",0.446182470245509
E07000040,East Devon,,E92000001E07000040,East Devon,"1152",14.8150324249376
E07000170,Ashfield,,E92000001E07000170,Ashfield,"649",1.13309962697069
