Registration district,Country,Year,Total,latitude,longitude
AMWELL,LONDON,1861,919.2662177,51.52651234,-0.109893448
ANCOATS,MANCHESTER & SALFORD,1861,2161.344479,53.48373998,-2.217201385
ANDOVER,,1861,431.3351477,51.23038807,-1.491951391
ANDOVER,,1861,431.3351477,51.26333333,-1.515466667
ANSTON,,1861,235.2921069,53.34333318,-1.229444616
APPLEBY,,1861,543.19649,54.62269317,-2.448396377
APPLETON ROEBUCK,,1861,102,53.87221167,-1.170379334
APPLETON ROEBUCK,,1861,102,53.89761849,-1.172495946
APPLETON UPON WISKE,,1861,250.4422487,54.42078518,-1.438327118
APPLETON UPON WISKE,,1861,250.4422487,54.38816502,-1.413790548
ARDLEIGH,,1861,311.8371189,51.90383166,1.017795811
ARDSLEY,,1861,157.8866571,53.7231887,-1.558326761
ARDSLEY,,1861,157.8866571,53.73636667,-1.5895
ARDWICK,MANCHESTER & SALFORD,1861,2248.847698,53.46075911,-2.187137008
ARKHOLME,,1861,92.8979144,54.15326117,-2.645296826
ARNCLIFFE,,1861,42,54.1572718,-2.157556789
ARNOLD,,1861,496.7708308,53.06481681,-1.183345347
ARNOLD,,1861,496.7708308,53.02768456,-1.096801111
ARTILLERY,LONDON,1861,470.0282193,51.51916255,-0.075348644
ARUNDEL,,1861,258.4554534,50.91054864,-0.522291544
ARUNDEL,,1861,258.4554534,50.86972197,-0.54703648
ASHBORNE,,1861,482.9009637,53.01011346,-1.659405062
ASHBORNE,,1861,482.9009637,53.00279105,-1.710733544
ASHBORNE,,1861,482.9009637,53.03703701,-1.670473399
ASHBY-DE-LA-ZOUCH,,1861,540.8276534,52.72655375,-1.425344199
ASHBY-DE-LA-ZOUCH,,1861,540.8276534,52.76749077,-1.436770156
ASHBY-DE-LA-ZOUCH,,1861,540.8276534,52.75396609,-1.520278894
ASHFORD,,1861,647.9012472,51.13231361,0.81309207
ASHLEY,BRISTOL,1861,744.8093893,51.47971799,-2.587083426
ASHLEY,BRISTOL,1861,744.8093893,51.49505077,-2.575664778
ASHOVER,,1861,694.1936024,53.15355237,-1.449087633
ASHTON IN MACKERFIELD,,1861,241.1469064,53.49394595,-2.652080338
ASHTON TOWN,ASHTON-UNDER-LYNE,1861,1461.304124,53.48665565,-2.094648769
ASKRIGG,,1861,353.8896509,54.27395682,-2.068228353
ASLACKBY,,1861,319.3631523,52.86342031,-0.345370372
ASPULL,,1861,289.2764228,53.5770788,-2.591133933
ASTON-CLINTON,,1861,532,51.84053703,-0.724022468
ASTON-CLINTON,,1861,532,51.85936762,-0.740372726
ASTON-CLINTON,,1861,532,51.79637279,-0.727582364
ASWARBY,,1861,223.0729235,52.92901064,-0.361368828
ATCHAM,,1861,122,52.67151383,-2.62550214
ATHERSTONE,,1861,782.0331373,52.5828466,-1.560197584
ATHERTON,,1861,534.2981439,53.50170674,-2.509902136
ATHERTON,,1861,534.2981439,53.51784177,-2.473127638
ATTERCLIFFE,SHEFFIELD,1861,251.1137856,53.39191398,-1.419849116
ATTLEBOROUGH,,1861,371.0673933,52.47416686,0.910445197
ATTLEBOROUGH,,1861,371.0673933,52.52175116,0.99417732
AUDENSHAW,MANCHESTER & SALFORD,1861,562.8654971,53.48541744,-2.134174761
AUDENSHAW,MANCHESTER & SALFORD,1861,562.8654971,53.48415653,-2.174483676
AUDENSHAW,MANCHESTER & SALFORD,1861,562.8654971,53.48056667,-2.100833333
AUDENSHAW,MANCHESTER & SALFORD,1861,562.8654971,53.4713,-2.159033333
AUDLEY,,1861,288.6055986,53.05073969,-2.313041946
AUGHTON,,1861,341.0883191,53.53715325,-2.925724708
AXBRIDGE,,1861,425.6365808,51.27937212,-2.794145132
AXBRIDGE,,1861,425.6365808,51.30346663,-2.897735588
AXBRIDGE,,1861,425.6365808,51.31861055,-2.823959762
AXBRIDGE,,1861,425.6365808,51.25420441,-2.752121162
AXMINSTER,,1861,428.2320202,50.72927488,-2.99965231
AXMINSTER,,1861,428.2320202,50.78685858,-2.973682769
AXMINSTER,,1861,428.2320202,50.72582091,-2.980720748
AXMINSTER,,1861,428.2320202,50.82550419,-2.905961135
AYCLIFFE,DARLINGTON,1861,338.9008576,54.58296506,-1.609322336
AYCLIFFE,DARLINGTON,1861,338.9008576,54.54161901,-1.550567066
AYCLIFFE,DARLINGTON,1861,338.9008576,54.54456237,-1.487719002
AYLESBURY,,1861,644.3768116,51.81721915,-0.812553538
AYLESBURY,,1861,644.3768116,51.7871724,-0.863513163
AYLESFORD,,1861,296.2627886,51.31301456,0.447672121
AYLESFORD,,1861,296.2627886,51.2751567,0.384476606
AYLESFORD,,1861,296.2627886,51.29582337,0.360850682
BACTON,,1861,153.1189736,52.82725184,1.421396826
BAINTON,,1861,292.6791269,53.97610862,-0.534744407
BAKEWELL,,1861,871.4585662,53.21478382,-1.70264745
BALA,,1861,644.8265576,52.89876743,-3.640784686
BALDOCK,,1861,783.6998033,51.94709064,-0.188205856
BALDOCK,,1861,783.6998033,51.8631568,-0.173851262
BALSHAM,,1861,126.2251149,52.13607453,0.337947809
BAMPTON,,1861,350.2488889,51.73522735,-1.532910773
BAMPTON,,1861,232.1408622,50.98889876,-3.435723178
BAMPTON,,1861,232.1408622,51.01593258,-3.486290499
BANBURY,BANBURY,1861,892.6333938,52.08629899,-1.293214486
BANGOR,,1861,780.0539584,53.14265944,-4.036059143
BANGOR,,1861,780.0539584,53.20345664,-4.154083635
BANHAM,,1861,424.0741284,52.47090312,1.047260079
BANHAM,,1861,424.0741284,52.41101618,1.076245798
BANWELL,,1861,982.515511,51.35076603,-2.920468528
BANWELL,,1861,982.515511,51.36544254,-2.872136409
BARFORD,,1861,192.0619555,52.20742029,-0.380573815
BARFORD,,1861,192.0619555,52.17840133,-0.378075313
BARHAM,,1861,331.8945697,51.25933333,1.1028
BARHAM,,1861,331.8945697,51.24204703,1.158741684
BARKING TOWN,,1861,293.4697106,51.53092918,0.10356045
BARMBROUGH,DONCASTER,1861,299.7442455,53.53471163,-1.254346941
BARMBROUGH,DONCASTER,1861,299.7442455,53.49343333,-1.302033333
BARMOUTH,,1861,823.6223412,52.77525726,-3.912139402
BARNACK,,1861,418.0221034,52.65052263,-0.41001005
BARNARD CASTLE,,1861,782.1828598,54.51897034,-1.97485042
BARNET,,1861,368.6324466,51.6354586,-0.209463217
BARNET,,1861,368.6324466,51.64515298,-0.169885368
BARNOLDSWICK,,1861,351.4697223,53.91936027,-2.1712834
BARNSLEY,BARNSLEY,1861,1245.160287,53.55396267,-1.483475933
BARNSTAPLE,BARNSTAPLE,1861,923.9132639,51.0781539,-4.04191705
BARNSTAPLE,BARNSTAPLE,1861,923.9132639,51.05711732,-3.976170994
BARNSTAPLE,BARNSTAPLE,1861,923.9132639,51.09134265,-4.001105879
BARROW UPON SOAR,,1861,305.4156122,52.7482787,-1.094714063
BARROWDEN,,1861,273.3046875,52.60472678,-0.674492469
BARROWDEN,,1861,273.3046875,52.58114309,-0.62242441
BARTON,,1861,841.5454738,53.4414,-2.4084
BARTON,,1861,841.5454738,53.46167532,-2.397074445
BARTON,,1861,957.1008397,53.65482281,-0.373852757
BASCHURCH,,1861,280.1631226,52.79506203,-2.835304948
BASFORD,,1861,1011.152773,52.98189329,-1.165986732
BASFORD,,1861,1011.152773,52.94172936,-1.213412314
