geo_code,geo_label,geo_labelw,label,name,HubName,HubDist
95AA,Antrim,,N9200000295AA,Antrim,Peel,112.664561037455
E06000032,Luton,,E92000001E06000032,Luton,Burnham,42.8324273201456
E07000175,Newark and Sherwood,,E92000001E07000175,Newark and Sherwood,Lincoln,28.5283341551535
E07000064,Rother,,E92000001E07000064,Rother,Winchelsea,10.0586564114244
E08000021,Newcastle upon Tyne,,E92000001E08000021,Newcastle upon Tyne,NewcastleUponTyne,6.3383313478966
E07000237,Worcester,,E92000001E07000237,Worcester,Worcester,1.31875740353819
E07000179,South Oxfordshire,,E92000001E07000179,South Oxfordshire,Earley,21.3934576312494
95II,Castlereagh,,N9200000295II,Castlereagh,Peel,83.1619402495427
E07000149,South Norfolk,,E92000001E07000149,South Norfolk,Norwich,12.9230971096444
E07000187,Mendip,,E92000001E07000187,Mendip,Bristol_CityDocks,28.6175963100713
S12000035,Argyll & Bute,,S92000003S12000035,Argyll & Bute,Silloth,197.153171244263
E07000077,Uttlesford,,E92000001E07000077,Uttlesford,Maldon,34.8138752238656
95GG,Belfast,,N9200000295GG,Belfast,Peel,89.7878513095105
S12000028,South Ayrshire,,S92000003S12000028,South Ayrshire,Silloth,99.4289842399261
E07000011,Huntingdonshire,,E92000001E07000011,Huntingdonshire,MarketDeeping,34.4939812205703
E07000083,Tewkesbury,,E92000001E07000083,Tewkesbury,Tewkesbury,8.80157645150772
E07000127,West Lancashire,,E92000001E07000127,West Lancashire,HeskethBank,10.4857264544449
E06000005,Darlington,,E92000001E06000005,Darlington,StocktonOnTees,16.2879989525675
E07000008,Cambridge,,E92000001E07000008,Cambridge,Wisbech,53.1429507283741
E07000078,Cheltenham,,E92000001E07000078,Cheltenham,Tewkesbury,12.2149356374006
E07000036,Erewash,,E92000001E07000036,Erewash,Lincoln,63.3176361344862
E06000037,West Berkshire,,E92000001E06000037,West Berkshire,Earley,24.7163037758475
E07000045,Teignbridge,,E92000001E07000045,Teignbridge,Teignmouth,13.484949894508
E06000044,Portsmouth,,E92000001E06000044,Portsmouth,Portsmouth,1.63602563346888
E09000021,Kingston upon Thames,,E92000001E09000021,Kingston upon Thames,Hampton,7.11125377101135
E08000003,Manchester,,E92000001E08000003,Manchester,Sankey,26.5169157231496
E08000011,Knowsley,,E92000001E08000011,Knowsley,Garston,9.77342004140338
E08000023,South Tyneside,,E92000001E08000023,South Tyneside,SouthShields,1.9152350233773
