Registration district,Country,Year,Total,latitude,longitude
ABBEY HOLME,,1881,749,54.80747117,-3.325823534
ABBEY HOLME,,1881,749,54.8543206,-3.244027583
ABBOTS BROMLEY,,1881,228,52.85944109,-1.918171075
ABBOTS BROMLEY,,1881,228,52.82412075,-1.87175129
ABBOTS LANGLEY,,1881,177,51.71082653,-0.435861492
ABBOTSBURY,,1881,145,50.69374929,-2.63430323
ABBOTSBURY,,1881,145,50.66016808,-2.56010012
ABERDARE,ABERDARE,1881,1261,51.73926423,-3.482936943
ABERDARE,ABERDARE,1881,1261,51.69301013,-3.385050757
ABERDARON,,1881,334,52.8378672,-4.666296518
ABERFORD,,1881,543,53.84573333,-1.4702
ABERFORD,,1881,543,53.78463046,-1.280140252
ABERFORD,,1881,543,53.7701699,-1.34775673
ABERFORD,,1881,543,53.82676707,-1.386040736
ABERFORD,,1881,543,53.77884503,-1.420274725
ABERFORD,,1881,543,53.83898783,-1.296745146
ABERGAVENNY,,1881,791,51.82269176,-3.01347052
ABERGELE,,1881,570,53.2376839,-3.614764859
ABERGWESSIN,,1881,290,52.18450906,-3.686262329
ABERGWESSIN,,1881,290,52.14544063,-3.554783709
ABERYSTRUTH,EBBW VALE,1881,407,51.78462436,-3.125403963
ABERYSTRUTH,EBBW VALE,1881,407,51.75670384,-3.153635308
ABERYSTWITH,,1881,902,52.39504292,-4.055112996
ABINGDON,,1881,712,51.68368548,-1.304954907
ABTHORPE,,1881,361,52.12475783,-1.066322778
ACCRINGTON,ACCRINGTON,1881,1375,53.7451268,-2.35281059
ACTON,LONDON,1881,1412,51.51437943,-0.263656418
ACTON,LONDON,1881,1412,51.53305544,-0.336116044
ACTON,LONDON,1881,1412,51.51336667,-0.2809
ADDINGHAM,,1881,314,53.98838923,-1.899641117
ALBERBURY,,1881,157,52.7134379,-2.967115707
ALBRIGHTON,,1881,223,52.62729074,-2.323115054
ALBURY,,1881,264,51.2921,-0.435833333
ALBURY,,1881,264,51.22685333,-0.462539339
ALBURY,,1881,264,51.24578446,-0.527196788
ALCESTER,,1881,351,52.22588634,-1.842673151
ALDBROUGH,,1881,120,54.49669497,-1.720593138
ALDBROUGH,,1881,107,53.8332369,-0.144854056
ALDEBURGH,,1881,330,52.18182372,1.51723845
ALDEBY,,1881,342,52.50305592,1.570931561
ALDERBURY,,1881,242,51.06874103,-1.698057631
ALDERBURY,,1881,242,51.00105055,-1.646178623
ALDERBURY,,1881,242,50.99751862,-1.600117612
ALDERLEY,,1881,429,53.26904853,-2.250634241
ALDGATE,LONDON,1881,258,51.50753593,-0.070463522
ALDINGTON,,1881,135,51.05933533,1.03116033
ALDINGTON,,1881,135,51.07231611,0.897290072
ALDINGTON,,1881,135,51.09846667,0.8292
ALDINGTON,,1881,135,51.03743333,0.874033333
