Registration district,Country,Year,Total,latitude,longitude
ABBEY,BATH,1851,1181,51.38346581,-2.364779122
ABBEY HOLME,,1851,653,54.8543206,-3.244027583
ABBEY HOLME,,1851,653,54.80747117,-3.325823534
ABBOTS BROMLEY,,1851,295,52.82412075,-1.87175129
ABBOTS BROMLEY,,1851,295,52.85944109,-1.918171075
ABBOTS LANGLEY,,1851,159,51.71082653,-0.435861492
ABBOTSBURY,,1851,125,50.69374929,-2.63430323
ABBOTSBURY,,1851,125,50.66016808,-2.56010012
ABERDARE,ABERDARE,1851,649,51.73926423,-3.482936943
ABERDARE,ABERDARE,1851,649,51.69301013,-3.385050757
ABERDARE,ABERDARE,1851,649,51.65670661,-3.504883801
ABERDARON,,1851,460,52.8378672,-4.666296518
ABERFORD,,1851,422,53.8123,-1.2056
ABERFORD,,1851,422,53.82676707,-1.386040736
ABERFORD,,1851,422,53.84573333,-1.4702
ABERFORD,,1851,422,53.80875563,-1.192377903
ABERFORD,,1851,422,53.81109672,-1.243399146
ABERGAVENNY,,1851,716,51.82269176,-3.01347052
ABERGELE,,1851,597,53.2376839,-3.614764859
ABERGWESSIN,,1851,296,52.14544063,-3.554783709
ABERGWESSIN,,1851,296,52.18450906,-3.686262329
ABERYSTRUTH,,1851,380,51.78462436,-3.125403963
ABERYSTRUTH,,1851,380,51.75670384,-3.153635308
ABERYSTWITH,,1851,677,52.39504292,-4.055112996
ABINGDON,,1851,709,51.68368548,-1.304954907
ABTHORPE,,1851,392,52.12475783,-1.066322778
ACCRINGTON,ACCRINGTON,1851,494,53.7451268,-2.35281059
ACTON,LONDON,1851,334,51.51336667,-0.2809
ACTON,LONDON,1851,334,51.53305544,-0.336116044
ACTON,LONDON,1851,334,51.51437943,-0.263656418
ADDINGHAM,,1851,350,53.98838923,-1.899641117
ADDINGHAM,,1851,350,53.95221846,-1.85104143
ALBERBURY,,1851,185,52.7134379,-2.967115707
ALBRIGHTON,,1851,261,52.62729074,-2.323115054
ALBURY,,1851,237,51.2921,-0.435833333
ALBURY,,1851,237,51.22685333,-0.462539339
ALBURY,,1851,237,51.24578446,-0.527196788
ALBURY,,1851,237,51.1117,-0.499933333
ALCESTER,,1851,373,52.22588634,-1.842673151
ALDBROUGH,,1851,0,54.49669497,-1.720593138
ALDBROUGH,,1851,151,53.8332369,-0.144854056
ALDEBURGH,,1851,222,52.18182372,1.51723845
ALDEBY,,1851,348,52.50305592,1.570931561
ALDERBURY,,1851,227,50.99511392,-1.61371321
ALDERBURY,,1851,227,50.99751862,-1.600117612
ALDERBURY,,1851,227,51.06874103,-1.698057631
ALDERBURY,,1851,227,51.00105055,-1.646178623
ALDERLEY,,1851,247,53.26904853,-2.250634241
ALDGATE,LONDON,1851,505,51.50753593,-0.070463522
ALDINGTON,,1851,134,51.03743333,0.874033333
ALDINGTON,,1851,134,51.05933533,1.03116033
ALDINGTON,,1851,134,51.07231611,0.897290072
ALDINGTON,,1851,134,51.09846667,0.8292
ALDRIDGE,WALSALL,1851,261,52.59074821,-1.925877961
ALFORD,,1851,644,53.24905436,0.203384735
ALFORD,,1851,644,53.29986667,0.2189
ALFRETON,,1851,401,53.08112458,-1.373457073
ALL SAINTS,,1851,281,51.68525676,0.676603831
ALL SAINTS,,1851,281,51.69938652,0.568095959
ALL SAINTS,BIRMINGHAM & SMETHWICK,1851,973,52.4898257,-1.930677913
ALL SAINTS,HASTINGS,1851,586,50.86175632,0.604270134
ALL SAINTS,NEWCASTLE & GATESHEAD,1851,1264,54.97326231,-1.599422334
ALL SAINTS,NORTHAMPTON,1851,1180,52.25158184,-0.920047158
ALL SAINTS,NORTHAMPTON,1851,1180,52.26926328,-0.896732355
ALL SOULS,LONDON,1851,2547,51.51859984,-0.137783494
ALLENDALE,,1851,468,54.88783996,-2.269600276
ALLERSTON,,1851,228,54.26493452,-0.657023908
ALLERSTON,,1851,228,54.23769838,-0.591324136
ALMONDBURY,HUDDERSFIELD,1851,532,53.61604608,-1.745218235
ALMONDBURY,HUDDERSFIELD,1851,532,53.63006668,-1.765290346
ALMONDSBURY,,1851,357,51.57017113,-2.57925292
ALPHINGTON,,1851,376,50.68025673,-3.553212597
ALPHINGTON,,1851,376,50.70878952,-3.640545888
ALRESFORD,,1851,296,51.12081508,-1.171344955
ALRESFORD,,1851,296,51.0706441,-1.223550259
ALSTON,,1851,384,54.77325384,-2.412902323
ALSTON,,1851,336,53.7670344,-2.656263468
ALSTON,,1851,336,53.7750208,-2.661131483
ALSTON,,1851,336,53.81436314,-2.576062796
ALTON,,1851,418,51.13280179,-1.021312217
ALTON,,1851,211,53.00475791,-1.89659644
ALTON,,1851,211,52.96398825,-1.86050378
ALTRINCHAM,,1851,890,53.41222562,-2.311636842
ALTRINCHAM,,1851,890,53.37735705,-2.341703626
ALVERSTOKE,PORTSMOUTH,1851,970,50.8224003,-1.18291121
ALVERSTOKE,PORTSMOUTH,1851,970,50.80202627,-1.149077108
ALVERTHORPE,WAKEFIELD,1851,284,53.69502671,-1.539609872
ALVERTHORPE,WAKEFIELD,1851,284,53.68087506,-1.518158843
ALVERTHORPE,WAKEFIELD,1851,284,53.67034227,-1.528862222
ALVERTHORPE,WAKEFIELD,1851,284,53.68006667,-1.551233333
AMBLESIDE,,1851,699,54.42287819,-2.942854783
AMERSHAM,,1851,246,51.66070807,-0.616201545
AMESBURY,,1851,182,51.1811775,-1.782257873
AMLWICH,,1851,572,53.3894597,-4.348065718
AMLWICH,,1851,572,53.34202774,-4.370480855
AMLWICH,,1851,572,53.4260338,-4.420029436
AMPTHILL,,1851,661,51.97286346,-0.554481163
AMPTHILL,,1851,661,52.0266894,-0.475989979
